cardIndex, vocabulary, vocaInterpret, sentence, sentenceInterpret
25, nature, 자연, We enjoyed beautiful nature in the woods., 우리는 숲에서 아름다운 자연을 즐겼다.
26, trouble, 문제/ 어려움, I had trouble finding his house., 나는 그의 집을 찾는 데 어려움을 겪었다.
27, lead, 안내하다/ 이끌다, She led us to the living room., 그녀는 우리를 거실로 안내했다.
28, cash, 현금/ 현찰, Do you want to pay in cash?, 현금으로 지불하시겠습니까?
29, stamp, 우표/ 도장, I bought a stamp at the post office., 나는 우체국에서 우표를 한 장 샀다.
30, healthy, 건강한/ 건강에 좋은, Eat more vegetables to stay healthy., 건강을 유지하기 위해 야채를 더 많이 드세요.
31, tip, (뾰족한) 끝/ 팁, He broke the tip of the pencil., 그는 연필 끝을 부러뜨렸다.
32, final, 마지막의, The final score was three to two., 최종 점수는 3대 2였다.
33, cartoon, 만화, I enjoy reading the cartoons in the newspaper., 나는 신문에서 만화를 읽는 것을 즐긴다.
34, teenager, 십 대, Rock music is popular among teenagers., 록 음악은 십 대들 사이에서 인기가 있다.
35, gentle, 부드러운/ 조용한, He spoke in a gentle voice., 그는 부드러운 목소리로 말했다.
36, nickname, 별명, I call him by his nickname., 나는 그를 별명으로 부른다.
37, unit, 구성 단위, The cell is the basic unit of living things., 세포는 생명체의 기본 구성 단위이다.
38, focus, 집중하다, You have to focus on your studies., 너는 공부에 집중해야 한다.
39, lovely, 사랑스러운, I have a lovely daughter., 나는 사랑스러운 딸이 있다.
40, curl, 곱슬곱슬하게 하다, I want to curl my hair., 머리를 곱슬곱슬하게 하고 싶어.
41, fair, 적당한/ 공정한, Ten dollars is a fair price., 10달러는 적당한 가격이다.
42, rub, 문지르다/ 비비다, He felt sleepy and rubbed his eyes., 그는 졸려서 눈을 비볐다.
43, court, 법정/ 경기장, I'm going to take you to court., 당신을 법정에 세우겠어. (당신을 고소하겠어.)
44, rule, 규칙/ 규정, Don't break the rules., 규칙을 어기지 마라.
45, insect, 곤충/ 벌레, Every insect has six legs., 모든 곤충은 다리가 여섯 개이다.
46, borrow, 빌리다, I borrowed the book from the library., 나는 그 책을 도서관에서 빌렸다.
47, twin, 쌍둥이, The twins look the same., 그 쌍둥이들은 똑같이 생겼다.
48, sign, 표지판/ 서명하다, That traffic sign means danger., 저 교통 표지판은 위험을 나타낸다.
49, view, 경치/ 전망, The night view of Seoul is beautiful., 서울의 야경은 아름답다.
50, total, 총/ 합계, The total cost is $50., 총비용은 50달러이다.
51, wonder, 궁금하다, I wonder if he will come., 나는 그가 올지 궁금하다.
52, sometime, 언젠가, Let's have dinner together sometime., 언제 함께 저녁 먹자.
53, thus, 그러므로/ 따라서, I woke up late/ thus missed the bus., 나는 늦게 일어났고/ 따라서 버스를 놓쳤다.
54, god, 하느님/ 신, Do you believe in God?, 하느님을 믿으세요?
55, simple, 간단한/ 단순한, This is not a simple problem., 이것은 단순한 문제가 아니다.
56, mix, 섞이다; 섞다, Oil and water do not mix., 기름과 물은 섞이지 않는다.
57, hero, 영웅, He is a soccer hero in Korea., 그는 한국에서 축구 영웅이다.
58, smart, 영리한/ 똑똑한, Dolphins are smart animals., 돌고래는 영리한 동물이다.
59, sunlight, 햇빛/ 햇볕, This room gets a lot of sunlight., 이 방은 햇볕이 잘 든다.
60, male, 남성, The thief was a white male., 그 도둑은 백인 남성이었다.
61, foreign, 외국의, I visited a foreign country last month., 나는 지난달에 외국을 방문했다.
62, law, 법/ 법률, We must keep the law., 우리는 법을 지켜야 한다.
63, shower, 샤워, Take a shower before you go to bed., 자기 전에 샤워해라.
64, lift, 들어올리다, I can't lift this heavy box., 나는 이 무거운 상자를 들어 올릴 수 없다.
65, fashion, 유행/ 패션, The jeans are in fashion this year., 올해는 청바지가 유행이다.
66, prison, 교도소/ 감옥, He got out of prison after two years., 그는 2년 후 교도소에서 나왔다.
67, newspaper, 신문, She is reading today's newspaper., 그녀는 오늘자 신문을 읽고 있다.
68, dig, (땅·구멍 등을) 파다, They are digging in the garden., 그들은 정원에서 땅을 파고 있다.
69, sharp, 날카로운/ 예리한, He cut the meat with a sharp knife., 그는 날카로운 칼로 그 고기를 잘랐다.
70, spicy, 매콤한, This curry is too spicy for me., 이 카레는 내게 너무 맵다.
71, crash, 충돌하다, His car crashed into the train., 그의 차는 열차와 충돌했다.
72, ground, 지면/ 땅, We were lying on the ground., 우리는 땅바닥에 누워 있었다.
73, hang, 걸다/ 매달다, We hung a lamp in the tent., 우리는 텐트 안에 등을 걸었다.
74, brave, 용감한, The brave soldiers fought for their country., 그 용감한 군인들은 나라를 위해 싸웠다.
75, freedom, 자유, They gave their kids a lot of freedom., 그들은 아이들에게 많은 자유를 주었다.
76, bark, (개 등이) 짖다, The dog always barks at me., 그 개는 항상 나를 보고 짖는다.
77, elder, 나이가 더 많은, His elder son is a doctor., 그의 큰아들은 의사이다.
78, silent, 말이 없는/ 조용한, He was silent all evening., 그는 저녁 내내 아무 말이 없었다.
79, member, 일원/ 회원, They are members of the tennis club., 그들은 테니스 클럽의 회원이다.
80, thief, 도둑/ 절도범, The thief took the diamond ring., 그 도둑은 다이아몬드 반지를 가져갔다.
81, freeze, 얼다; 얼리다, The river froze last night., 그 강은 어젯밤에 얼었다.
82, harmony, 화음/ 조화, They sang in beautiful harmony., 그들은 아름다운 화음으로 노래했다.
83, muddy, 진흙투성이의, I took off my muddy boots., 나는 진흙투성이의 부츠를 벗었다.
84, score, 득점/ 점수, What was the final score of the game?, 그 경기의 최종 점수는 몇 점이었니?
85, proud, 자랑스러워하는, I'm really proud of you., 난 네가 정말 자랑스러워.
86, prize, 상/ 경품, She won first prize in the writing contest., 그녀는 글쓰기 대회에서 1등 상을 받았다.
87, lower, 아래쪽의, I hurt my lower back., 나는 등 아래쪽을 다쳤다.
88, soap, 비누, Wash your hands with soap., 손을 비누로 씻어라.
89, quite, 아주/ 꽤, He plays basketball quite well., 그는 농구를 꽤 잘한다
90, leader, 지도자/ 리더, Who is your team leader?, 너희 팀 리더가 누구니?
91, dead, 죽은, I miss my dead father., 나는 돌아가신 아버지가 그립다.
92, care, 조심/ 주의, Drive with care., 조심해서 운전하세요.
93, coin, 동전, He put some coins in his pocket., 그는 동전 몇 개를 주머니에 넣었다.
94, postcard, 엽서, I got a postcard from my friend in Tokyo., 나는 도쿄에 있는 친구로부터 엽서를 받았다.
95, skill, 솜씨/ 능력, His cooking skills are excellent., 그의 요리 솜씨는 뛰어나다.
96, must, ~해야 하다, You must clean your room., 너는 방을 청소해야 한다.
97, important, 중요한, Enough sleep is important for your health., 충분한 수면은 건강에 중요하다.
98, partner, 동료/ 동업자, They were partners in the business., 그들은 그 사업에서 동업자였다.
99, flour, 밀가루/ 가루, I bought flour to make bread., 나는 빵을 만들기 위해 밀가루를 샀다.
100, secret, 비밀의/ 비밀, Enter your secret code., 비밀번호를 입력하세요.
101, meal, 식사, Did you enjoy your meal?, 식사 맛있게 하셨어요?
102, cinema, 영화관, Let's meet at the cinema lobby., 영화관 로비에서 만나자.
103, taste, 맛/ 맛이 나다, This fruit has a sweet taste., 이 과일은 단맛이 난다.
104, channel, 채널/ 주파수, There is a quiz show on channel 3., 3번 채널에서는 퀴즈 쇼를 방영한다.
105, bottom, 맨 아래, My house is at the bottom of the hill., 우리 집은 그 언덕 아래쪽에 있다.
106, garbage, 쓰레기, We are picking up garbage., 우리는 쓰레기를 줍고 있다.
107, culture, 문화, They want to learn about Korean culture., 그들은 한국 문화에 관해 배우기를 원한다.
108, lost, 길을 잃은, They were lost in the mountains., 그들은 산속에서 길을 잃었다.
109, noisy, 시끄러운, The restaurant was too noisy., 그 식당은 너무 시끄러웠다.
110, else, 다른/ 그 밖에, Do you need anything else?, 다른 필요한 것이 있으세요?
111, chat, 잡담하다, We were chatting about the news., 우리는 그 소식에 관해 잡담하고 있었다.
112, level, (양의) 정도/ 수준, Your stress is at a high level., 당신은 스트레스 정도가 높군요.
113, beauty, 아름다움, People see beauty in paintings., 사람들은 그림에서 아름다움을 발견한다.
114, flat, 평평한/ 납작한, We sat on the flat ground., 우리는 평평한 땅에 앉았다.
115, flow, 흐름, The machine uses the flow of air., 그 기계는 공기의 흐름을 이용한다.
116, melt, 녹다; 녹이다, The ice cream melted in the warm weather., 따뜻한 날씨에 아이스크림이 녹았다.
117, course, 진로/ 방향, I decided on a course for the future., 나는 미래의 진로를 결정했다.
118, mad, 화가 난, He is still mad at me., 그는 아직 내게 화가 나 있다.
119, bored, 지루한/ 지겨운, They felt bored by the game., 그들은 그 게임에 지루해졌다.
120, form, 형태/ (문서) 서식, There are many forms of art., 예술에는 다양한 형태가 있다.
121, behind, ~의 뒤에, She stood behind me., 그녀는 내 뒤에 서 있었다.
122, factory, 공장, This factory produces chairs., 이 공장은 의자를 생산한다.
123, share, 함께 쓰다/ 공유하다, I share a room with my sister., 나는 언니와 방을 함께 쓴다.
124, flash, 번쩍이다, A light flashed in the dark., 어둠 속에서 불빛이 번쩍였다.
125, without, ~없이, I can't do it without your help., 네 도움 없이는 그걸 할 수 없어.
126, sample, 견본/ 샘플, I got a free sample of soap., 나는 무료 비누 샘플을 받았다.
127, less, (~보다) 적은, I spend less time reading., 나는 책 읽는 데 적은 시간을 쓴다.
128, playground, 운동장/ 놀이터, Let's play soccer at the playground., 운동장에서 축구를 하자.
129, driver, 운전자/ 기사, He worked as a bus driver., 그는 버스 기사로 일했다.
130, breath, 숨/ 호흡, He took a deep breath after running., 그는 달리고 난 후 숨을 깊이 들이마셨다.
131, fry, (기름에) 튀기다, Fry the potatoes for three minutes., 감자들을 3분간 튀기세요.
132, stick, 붙이다, I stuck the poster on the wall., 나는 그 포스터를 벽에 붙였다.
133, enter, ~에 들어가다, They entered the classroom., 그들은 교실로 들어갔다.
134, during, ~동안 (내내), I'll go on a trip during the vacation., 나는 방학 동안 여행을 갈 것이다.
135, flood, 홍수, The flood washed away the tall tree., 그 큰 나무는 홍수에 떠내려갔다.
136, suck, 빨아먹다[마시다], He sucked the juice from a lemon., 그는 레몬에서 즙을 빨아먹었다.
137, someday, 언젠가, I want to go to space someday., 나는 언젠가 우주에 가보고 싶다.
138, press, 신문/ 언론, The story was reported in the press., 그 이야기는 언론에 보도되었다.
139, common, 흔한/ 공통의, Snow is common in this town., 이 마을에서는 눈이 흔하다.
140, myself, 나 자신을[에게], I bought myself a gift., 나는 나 자신에게 선물을 사 주었다.
141, dessert, 디저트/ 후식, What will you have for dessert?, 후식은 무엇으로 하시겠습니까?
142, wedding, 결혼(식), Many people came to his wedding., 많은 사람들이 그의 결혼식에 왔다.
143, anymore, 이제는/ 더 이상, I don't want to talk to him anymore., 나는 더 이상 그와 말하고 싶지 않다.
144, soldier, 군인/ 육군, Soldiers are holding their guns., 군인들이 총을 들고 있다.
145, straw, 밀짚/ 빨대, He had a straw hat on., 그는 밀짚모자를 쓰고 있었다.
146, trash, 쓰레기, Take out the trash., 쓰레기를 내다 버려라.
147, bakery, 제과점, The bakery sells many kinds of bread., 그 제과점은 많은 종류의 빵을 판매한다.
148, scene, (연극·영화 등의) 장면, That's my favorite scene in this movie., 저것이 내가 이 영화에서 좋아하는 장면이다.
149, special, 특별한, Do you have any special plans for this evening?, 오늘 저녁에 특별한 계획 있으세요?
150, recipe, 요리법, Please tell me the recipe for apple pie., 애플파이 요리법을 알려주세요.
151, nobody, 아무도 ~않다, Nobody heard his voice., 아무도 그의 목소리를 듣지 못했다.
152, pill, 알약, Take one pill a day., 약을 하루에 한 알씩 복용하세요.
153, sleepy, 졸리는, I can't study because I'm too sleepy., 너무 졸려서 공부를 할 수가 없어요.
154, soil, 흙/ 토양, Plants grow well in good soil., 식물은 좋은 토양에서 잘 자란다.
155, dive, (물속으로) 뛰어들다, Do not dive into the river., 강에 다이빙하지 마시오.
156, dictionary, 사전, This dictionary gives lots of examples., 이 사전은 풍부한 예문을 제공한다.
157, female, 여성의/ 여성, She was the first female president., 그녀는 첫 번째 여성 대통령이었다.
158, chef, 요리사/ 주방장, Our chef uses only fresh vegetables., 저희 주방장은 신선한 채소만을 사용합니다.
159, pour, 따르다/ 붓다, Pour the sauce over the salad., 샐러드 위에 소스를 부어라.
160, designer, 디자이너, The designer held a fashion show., 그 디자이너는 패션쇼를 열었다.
161, ache, 아프다/ 쑤시다, My shoulders ache., (내) 어깨가 아프다.
162, wooden, 나무로 된, The house has a wooden floor., 그 집은 바닥이 나무로 되어 있다.
163, should, ~해야 한다, You should get some rest., 너는 휴식을 좀 취해야 한다.
164, mistake, 실수/ 잘못, He made a big mistake., 그는 큰 실수를 저질렀다.
165, foreigner, 외국인, She teaches Korean to foreigners., 그녀는 외국인들에게 한국어를 가르친다.
166, wild, 야생의, The hill was full of wild flowers., 그 언덕은 야생화로 가득했다.
167, captain, 선장/ 주장, The ship's captain is looking at a map., 그 배의 선장은 지도를 보고 있다.
168, step, 걸음/ 단계, Please take a step back., 뒤로 한 걸음 물러서주세요.
169, elderly, 연세가 드신, He lives with his elderly mother., 그는 연세가 드신 어머니와 함께 산다.
170, flight, 비행; 항공편, I was tired from the long flight., 나는 긴 비행으로 피곤했다.
171, weigh, 무게가 ~이다, How much do you weigh?, 몸무게가 얼마에요?
172, farmer, 농부/ 농장주, The farmer is growing corn., 그 농부는 옥수수를 재배하고 있다.
173, neat, 정돈된/ 깔끔한, She always keeps her room neat., 그녀는 언제나 방을 깔끔하게 유지한다.
174, invention, 발명(품), The Internet is a wonderful invention., 인터넷은 놀라운 발명품이다.
175, fur, 털/ 모피, The rabbit's fur is soft., 토끼의 털은 부드럽다.
176, alike, 비슷한, My brother and I are just alike., 남동생과 나는 꼭 닮았다.
177, yet, 아직, We are not ready yet., 우리는 아직 준비가 안 됐어요.
178, power, 힘/ 권력, I don't have the power to lift it., 나는 그것을 들 힘이 없다.
179, moment, 순간/ 잠깐, We enjoyed every moment of the trip., 우리는 그 여행의 모든 순간을 즐겼다.
180, collect, 수집하다, My hobby is collecting stamps., 내 취미는 우표 수집하기이다.
181, bowl, (속이 깊은) 그릇, Fill a bowl with cold water., 그릇을 차가운 물로 채우세요.
182, popular, 인기 있는, The singer is very popular with teenagers., 그 가수는 십 대들에게 매우 인기 있다.
183, cell phone, 휴대전화, Please call me on my cell phone., 제 휴대전화로 전화해 주세요.
184, topic, 화제/ 주제, That is the topic of my essay., 그것이 내 에세이의 주제이다.
185, uniform, 제복, He is wearing a police uniform., 그는 경찰복을 입고 있다.
186, living, 살아 있는, She is the most famous living painter., 그녀는 현재 살아 있는 가장 유명한 화가이다.
187, least, 가장 작은[적은], The glass with the least juice is mine., 주스가 가장 적은 유리컵이 내 것이다.
188, allow, 허락하다, My mom allowed me to get a dog., 엄마는 내가 개를 사는 것을 허락해 주셨다.
189, toward, ~쪽으로, The man walked toward us., 그 남자는 우리 쪽으로 걸어왔다.
190, upstairs, 위층에[으로], I ran upstairs to my room., 나는 위층 내 방으로 달려갔다.
191, reach, 도착하다/ 닿다, We reached Seoul that night., 우리는 그날 밤에 서울에 도착했다.
192, fail, 실패하다, She failed to enter the college., 그녀는 그 대학에 입학하는 데 실패했다.
193, village, 마을, He was born in a small village., 그는 작은 마을에서 태어났다.
194, burn, (불에) 타다, The trees are still burning., 그 나무들은 아직 타고 있다.
195, blind, 눈 먼/ 장님의, Guide dogs help blind people., 안내견은 시각장애인들을 돕는다.
196, prepare, 준비하다, They are preparing a meal., 그들은 식사를 준비하는 중이다.
197, lonely, 외로운, I'm lonely without my family., 가족이 없으니 외로워.
198, suddenly, 갑자기, The bus stopped suddenly., 그 버스는 갑자기 멈췄다.
199, online, 온라인의, He read an online newspaper., 그는 온라인 신문을 읽었다.
200, return, 돌아가다[오다], They returned from their trip., 그들은 여행에서 돌아왔다.
201, especially, 특별히, I made this cake especially for you., 특별히 너를 위해 이 케이크를 만들었어.
202, type, 종류, I like all types of movies., 나는 모든 종류의 영화를 좋아한다.
203, adult, 성인/ 어른, The child wants to become an adult soon., 그 아이는 빨리 어른이 되고 싶어한다.
204, shopping, 쇼핑, We do our shopping on weekends., 우리는 주말에 쇼핑을 한다.
205, greet, 맞이하다, She greeted us with a kind smile., 그녀는 다정한 미소로 우리를 맞았다.
206, everything, 모든 것, He loved everything about her., 그는 그녀의 모든 것을 사랑했다.
207, sport, 스포츠/ 운동, My favorite sport is basketball., 내가 가장 좋아하는 운동은 농구이다.
208, cheer, 환호/ 격려하다, They welcomed her with cheers., 그들은 환호로 그녀를 맞았다.
209, interest, 관심/ 흥미, I have an interest in travel., 나는 여행에 관심이 있다.
210, guide, 안내자, The guide showed us around the city., 그 안내원은 우리에게 그 도시를 안내했다.
211, mark, 얼룩/ 표시, There's a dirty mark on your shirt., 네 셔츠에 더러운 얼룩이 있어.
212, usual, 평상시의, I missed my usual train this morning., 나는 오늘 아침에 평소에 타던 기차를 놓쳤다.
213, housework, 집안일, I was busy doing housework., 나는 집안일을 하느라 바빴다.
214, through, ~을 지나서, The bus ran through a tunnel., 그 버스는 터널을 지나서 달렸다.
215, text, 글/ 문서, This book has very little text., 이 책은 글이 거의 없다.
216, oven, 오븐, I baked some cookies in the oven., 나는 오븐에 쿠키를 구웠다.
217, solve, (문제를) 풀다, I can't solve the math problem., 그 수학 문제를 못 풀겠어.
218, own, 자기 자신의, Do you have your own computer?, 네 개인 컴퓨터가 있니?
219, beat, 때리다, I got angry and beat him., 나는 화가 나서 그를 때렸다.
220, later, 나중에/ 후에, Let's meet a week later., 1주일 후에 만나자.
221, actual, 실제의/ 사실상의, I don't know his actual age., 나는 그의 실제 나이를 모른다.
222, hiking, 하이킹, I like to go hiking in the mountains., 나는 산으로 하이킹 가는 것을 좋아한다.
223, record, 기록, I keep a record of my weight., 나는 내 몸무게를 기록한다.
224, copy, 복사(본), Send me a copy of the file., 그 파일의 복사본을 보내줘.
225, royal, 국왕의/ 왕실의, The king built a new royal palace., 그 왕은 새 왕궁을 지었다.
226, dialogue, 대화, I had a short dialogue with my teacher., 나는 선생님과 짧은 대화를 나누었다.
227, palm, 손바닥, I put the coin in her palm., 나는 그 동전을 그녀의 손바닥에 놓았다.
228, boil, 끓다; 끓이다, The soup in the pot is boiling., 냄비 속의 수프가 끓고 있다.
229, magazine, 잡지, I like to read sports magazines., 나는 스포츠 잡지 읽는 것을 좋아한다.
230, tradition, 전통, The school has a long tradition., 그 학교는 오랜 전통을 가지고 있다.
231, headache, 두통, I have a bad headache., 두통이 심해요.
232, scare, 겁나게 하다, A strange noise scared me., 이상한 소리가 나를 겁나게 했다.
233, main, 주된/ 주요한, What is your main point?, 당신의 요점이 무엇인가요?
234, curly, 곱슬곱슬한, She has long curly hair., 그녀는 긴 곱슬머리를 가지고 있다.
235, language, 언어/ 말, How many languages can you speak?, 당신은 몇 개 국어를 말할 수 있습니까?
236, tear, 눈물, Tears ran down her face., 눈물이 그녀의 얼굴에 흘러내렸다.
237, result, 결과, The test results were not good., 시험 결과는 좋지 않았다.
238, block, 한 구획/ 블록, The bakery is two blocks away from here., 그 빵집은 여기서 두 블록 떨어져 있다.
239, friendly, 친절한, She is always friendly to others., 그녀는 다른 사람들에게 언제나 친절하다.
240, however, 그렇지만, I like basketball. However/ I'm not good at it., 나는 농구를 좋아한다. 그렇지만 잘하지는 못한다.
241, blank, 공백의/ 빈, I drew a picture on a blank page., 나는 빈 페이지에 그림을 그렸다.
242, greenhouse, 온실, The farmer grew vegetables in a greenhouse., 그 농부는 온실에서 채소를 재배했다.
243, drawer, 서랍, The file is in the top drawer., 그 파일은 맨 위 서랍에 있어요.
244, tower, 탑, There is a tall tower on the hill., 그 언덕 위에 높은 탑이 있다.
245, fever, 열, The baby has a high fever., 그 아기는 고열이 있다.
246, lie, 눕다, He is lying on the grass., 그는 잔디 위에 누워 있다.
247, contest, 경기/ 대회, He won the fishing contest., 그는 그 낚시 대회에서 우승했다.
248, natural, 자연[천연]의, Natural foods are good for your health., 자연식품은 건강에 좋다.
249, fantastic, 환상적인/ 멋진, We had a fantastic time at the concert., 우리는 그 콘서트에서 멋진 시간을 보냈다.
250, global, 세계적인, The company is leading the global market., 그 회사는 세계 시장에서 선두를 달리고 있다.
251, disagree, 동의하지 않다, He disagreed with her idea., 그는 그녀의 생각에 동의하지 않았다.
252, accept, 받아들이다, She didn't accept my advice., 그녀는 내 충고를 받아들이지 않았다.
253, tough, 힘든/ 어려운, We had a tough time., 우리는 힘든 시간을 보냈다.
254, character, 성격/ 성질, He is a man of kind character., 그는 친절한 성격의 사람이다.
255, judge, 재판관/ 판사, She worked as a judge for 10 years., 그녀는 판사로 10년간 일했다.
256, nation, 국가/ 나라, How many nations are there in the world?, 세계에는 몇 개의 국가가 있나요?
257, medicine, 약/ 의학, You should take this medicine., 너는 이 약을 먹어야 한다.
258, lock, 잠그다, Don't forget to lock the door., 문 잠그는 것 잊지 마라.
259, sheet, 시트/ 얇은 천, I'll give you clean sheets., 내가 깨끗한 시트를 줄게.
260, strange, 이상한/ 낯선, I had a strange dream., 나는 이상한 꿈을 꾸었다.
261, solar, 태양의, Solar power is used in many ways., 태양 에너지는 여러 가지 방식으로 사용된다.
262, desert, 사막, This plant can't live in the desert., 이 식물은 사막에서 살 수 없다.
263, festival, 축제, Our city holds a jazz festival every year., 우리 도시는 매년 재즈 축제를 개최한다.
264, director, (회사의) 임원[이사], He became a director at the company., 그는 그 회사의 이사가 되었다.
265, cause, 원인/ 이유, We don't know the cause of the event., 우리는 그 사건의 원인을 모른다.
266, activity, 활동, We do club activities after school., 우리는 방과 후에 동아리 활동을 한다.
267, slide, 미끄러지다, She slid across the ice., 그녀는 얼음 위로 미끄러졌다.
268, amazing, 놀랄 만한/ 굉장한, That is an amazing story!, 그거 굉장한 이야기인데!
269, heat, 열/ 더위, The heat of the sun melted the ice., 태양의 열기가 얼음을 녹였다.
270, serious, 심각한, He made a serious mistake., 그는 심각한 실수를 저질렀다.
271, general, 일반적인, We talked about general topics., 우리는 일반적인 주제들에 대해 이야기했다.
272, review, 검토(하다), They are reviewing the results., 그들은 결과를 검토하고 있다.
273, midnight, 자정/ 한밤중, The store closes at midnight., 그 가게는 자정에 문을 닫는다.
274, shape, 형태/ 모양, The tables are square in shape., 그 탁자들은 모양이 정사각형이다.
275, surprised, 놀란, I was surprised at the news., 나는 그 소식에 놀랐다.
276, stress, 스트레스/ 압박, I'm under a lot of stress., 나는 심한 스트레스를 받고 있다.
277, cafeteria, 카페테리아/ 구내식당, She ate lunch in the company cafeteria., 그녀는 회사 구내식당에서 점심을 먹었다.
278, talent, 재능/ 재주, My son has a talent for singing., 내 아들은 노래에 재능이 있다.
279, race, 경주, Who won the car race?, 그 자동차 경주에서 누가 이겼니?
280, normal, 보통의/ 평범한, We returned to a normal life., 우리는 평범한 생활로 돌아왔다.
281, save, (위험에서) 구하다, He saved us from a fire., 그가 화재에서 우리를 구했다.
282, shell, 껍데기/ 껍질, Take the shell off an egg., 달걀 껍데기를 벗기세요.
283, adventure, 모험, She got back safe from her adventure., 그녀는 모험에서 무사히 돌아왔다.
284, finally, 마침내/ 마지막으로, He finally finished his homework., 그는 마침내 숙제를 끝냈다.
285, toothache, 치통, I have a bad toothache., 나는 심한 치통을 앓고 있다.
286, pleasure, 즐거움/ 기쁨, She gets pleasure from playing the violin., 그녀는 바이올린 연주에서 즐거움을 얻는다.
287, sketch, 밑그림, I drew a sketch of a cat., 나는 고양이의 밑그림을 그렸다.
288, footprint, 발자국, There were no footprints in the sand., 모래 위에는 발자국 하나 남아있지 않았다.
289, outdoor, 야외의, I went to an outdoor concert yesterday., 나는 어제 야외 콘서트에 갔다.
290, sale, 판매, Ticket sales start right now., 티켓 판매가 이제 시작됩니다.
291, match, 경기/ 시합, Did you watch the tennis match?, 그 테니스 경기 봤니?
292, weekly, 매주의/ 주 1회의, Make a weekly plan first., 먼저 주간 계획을 세워라.
293, firework, 불꽃(놀이), Many people came to see the fireworks., 많은 사람들이 불꽃놀이를 보러 왔다.
294, humorous, 유머가 풍부한, Let me tell you a humorous story., 재미있는 이야기를 하나 해 줄게.
295, deeply, 대단히/ 깊이, I'm deeply sorry., 대단히 죄송합니다.
296, everywhere, 어디나/ 어디든지, I carry my cell phone everywhere., 나는 휴대전화를 어디든지 가지고 다닌다.
297, shout, 소리치다, She shouted for help., 그녀는 도와달라고 소리쳤다.
298, interview, 면접/ 인터뷰, When is your job interview?, 너의 면접이 언제니?
299, follow, 따라가다, Do not follow me., 날 따라오지 마.
300, alarm, 경보(기)/ 알람, Did you hear the fire alarm?, 화재경보기 소리 들었니?
301, unique, 독특한, This building is very unique., 이 건물은 매우 독특하다.
302, tasty, 맛있는, All of the food was tasty., 모든 음식이 맛있었다.
303, control, 통제(력), They had no control over their child., 그들은 아이를 통제하지 못했다.
304, symbol, 상징(물), The dove is a symbol of peace., 비둘기는 평화의 상징이다.
305, excited, 신이 난, I was excited to see her again., 나는 그녀를 다시 만나서 신이 났다.
306, helpful, 도움이 되는, The book was very helpful for the exam., 그 책은 시험에 큰 도움이 되었다.
307, sentence, 문장, This sentence is too hard for me., 이 문장은 나에게 너무 어렵다.
308, style, 방식, I like his style of singing., 나는 그의 노래 부르는 방식이 좋다.
309, shine, 빛나다, The moon shone in the dark., 어둠 속에서 달이 빛났다.
310, wallet, 지갑, I lost my wallet yesterday., 나는 어제 지갑을 잃어버렸다.
311, mind, 마음/ 정신, Tell me what you have in mind., 마음 속에 있는 것을 말해봐.
312, produce, 생산하다, This factory produces cheese., 이 공장은 치즈를 생산한다.
313, while, ~하는 동안, Did you call me while I was out?, 내가 없는 동안 전화했었니?
